artist_name,track_name,track_id,popularity
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,94
Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,89
YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,88
Calboy,Envy Me,05t7JMip6JrLuSrMV5yYjX,86
Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,88
Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,91
Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,91
Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,87
21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,85
Khalid,Better,6zeeWid2sgw4lap2jV61PZ,84
Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,88
XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,87
Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,89
Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,85
Kodak Black,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,85
Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,83
Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,83
Blueface,Thotiana,3oh6SCCeLuXhFpEyepla6G,84
Dominic Fike,3 Nights,1tNJrcVe6gwLEiZCtprs1u,88
Panic! At The Disco,"Hey Look Ma, I Made It",22oEJW6r2rMb9z4IntfyEa,84
Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,81
benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,86
Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,82
Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,82
Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,84
Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,86
Lil Mosey,Noticed,6JQvHMSaR8flFsN53ypOfP,83
Cardi B,Money,2GGMabyHXnJmjY6CXhhB2e,82
Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,89
Dean Lewis,Be Alright,3EPXxR3ImUwfayaurPi3cm,87
Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,86
Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,91
Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,88
Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,81
Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,80
YoungBoy Never Broke Again,Slime Belief,2qGfZAgDe1pV2y5xJAhi6R,79
XXXTENTACION,changes,7AFASza1mXqntmGtbxXprO,84
Zedd,The Middle,09IStsImFySgyp0pIQdqAc,85
Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR,82
Kina,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,86
The Chainsmokers,This Feeling,4NBTZtAt1F13VvlSKe6KTl,84
BlocBoy JB,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,82
Juice WRLD,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,80
Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,81
Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,82
Bazzi,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,84
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,88
KYLE,Hey Julie! (feat. Lil Yachty),1jkEorRvoRQNo1WZfD1X5q,81
Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,84
Roddy Ricch,Die Young,3wLtYwtqvKK2ewelSVPeDK,79
Roddy Ricch,Die Young,3wLtYwtqvKK2ewelSVPeDK,79
Lewis Capaldi,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,90
Kodak Black,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,78
Kane Brown,Good as You,1D07CwYBPqu8NbQTdu9C1g,77
YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,78
Lil Peep,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,82
Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,78
Dan + Shay,Tequila,7Il2yWQmsqKgSkLQvHTPUI,77
Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,82
Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,80
Lil Mosey,Kamikaze,1iPBD72u3nAyFEeardYuBV,79
Khalid,OTW,6Hgh47WXVKtXN5zGOu0hjI,80
Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,77
Alessia Cara,Out Of Love,4WzhjxvLP95y7AMDy0Atwb,81
Juice WRLD,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,78
6ix9ine,"FEFE (feat. Nicki Minaj, Murda Beatz)",4QIyEq7TcTdAcxjI2AFlAK,81
Lil Tjay,Brothers,3OKjDHmSJVKOn6V4hCR8bq,77
Bebe Rexha,I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,83
benny blanco,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,80
A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,82
King Princess,1950,0CZ8lquoTX2Dkg7Ak2inwA,81
Dan + Shay,Speechless,7q7jyVU0f0hnod8tsaUmxg,76
Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,83
Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT,84
Juice WRLD,Black & White,1fCeXjoRExPP2qwSBh2aST,77
Camila Cabello,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,85
Juice WRLD,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,78
Nipsey Hussle,Grinding All My Life,3R9j8urSPiBbapNbyuSYkE,77
Trippie Redd,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,77
benny blanco,Roses (with Juice WRLD feat. Brendon Urie),5YAP8zpqj1eIX88makBjDe,78
Ella Mai,Trip,6CTWathupIiDs7U4InHnDA,79
Cardi B,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,77
XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,79
Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,78
Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,78
Lil Uzi Vert,New Patek,0Fpen1PTuEnCmOJtUU9Iud,76
XXXTENTACION,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7,80
Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,83
Twenty One Pilots,Chlorine,23OXdR7YuUBVWh5hSnYJau,82
DJ Khaled,No Brainer,5WvAo7DNuPRmk4APhdPzi8,81
Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,51w9Jbat1pLeWINGCpnQUR,78
Eli Young Band,Love Ain't,6uVzeU47Qzg0rrMneP5BNg,75
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,82
Anuel Aa,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,86
Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,76
Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3,87
Billie Eilish,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,80
Migos,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,80
Marshmello,FRIENDS,08bNPGLD8AhKpnnERrAc6G,84
Rodney Atkins,Caught Up In The Country,2BgunkkepMPFpArQj1Dx5s,75
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,82
Ariana Grande,breathin,4OafepJy2teCjYJbvFE60J,81
Anuel Aa,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,86
