index,artist_name,artist_genres,album_name,track_name,All_genres,track_id,Popular,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,time_signature,valence
0,Post Malone,pop,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', ['pop', 'rap']]",3KkXRkHbMCARz0aVfEt68P,2,0.556,0.76,158040,0.479,2,0.0703,-5.574,0.0466,89.911,4,0.913
62,Pedro Capó,pop,Calma (Remix),Calma - Remix,"['Pedro Capó', ['latin pop']]",5iwz1NiezX7WWjnCgY5TH4,2,0.32299999999999995,0.826,238200,0.773,11,0.14300000000000002,-4.218,0.0524,126.899,4,0.7609999999999999
34,Lady Gaga,pop,A Star Is Born Soundtrack,Shallow,"['Lady Gaga', ['dance pop', 'pop'], ['fake']]",2VxeLyX666F8uXCJ0dZF8B,2,0.371,0.5720000000000001,215733,0.385,7,0.231,-6.362,0.0308,95.799,4,0.32299999999999995
5,Halsey,pop,Without Me,Without Me,"['Halsey', ['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']]",5p7ujcrUXASCNwRaWNHR1C,2,0.297,0.752,201661,0.488,6,0.0936,-7.05,0.0705,136.041,4,0.5329999999999999
6,Marshmello,house,Happier,Happier,"['Marshmello', ['brostep', 'egyptian pop', 'progressive electro house']]",2dpaYNEQHiRxtZbfNsse99,2,0.191,0.687,214290,0.792,5,0.16699999999999998,-2.749,0.0452,100.015,4,0.6709999999999999
54,Lewis Capaldi,pop,Breach,Someone You Loved,"['Lewis Capaldi', ['pop', 'uk pop']]",2TIlqbIneP0ZY1O0EzYLlc,2,0.7509999999999999,0.501,182161,0.405,1,0.105,-5.6789999999999985,0.0319,109.891,4,0.446
13,Panic! At The Disco,rock,Pray For The Wicked,High Hopes,"['Panic! At The Disco', ['emo', 'modern rock', 'pop punk']]",1rqqCSm0Qe4I9rUvWncaom,2,0.193,0.579,190947,0.904,5,0.064,-2.729,0.0618,82.014,4,0.6809999999999999
1,Meek Mill,hip hop,Championships,Going Bad (feat. Drake),"['Meek Mill', ['hip hop', 'philly rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']]",2IRZnDFmlqMuOrYOLnZZyc,2,0.259,0.889,180522,0.496,4,0.252,-6.365,0.0905,86.00299999999999,4,0.544
31,Alec Benjamin,pop,Narrated For You,Let Me Down Slowly,"['Alec Benjamin', ['pop']]",2qxmye6gAegTMjLKEBoR3d,2,0.74,0.652,169354,0.557,1,0.124,-5.714,0.0318,150.07299999999995,4,0.483
10,Post Malone,pop,beerbongs & bentleys,Better Now,"['Post Malone', ['pop', 'rap']]",7dt6x5M1jzdTEt8oCbisTK,2,0.354,0.68,231267,0.563,10,0.136,-5.843,0.0454,145.028,4,0.374
4,Travis Scott,pop,ASTROWORLD,SICKO MODE,"['Travis Scott', ['pop', 'pop rap', 'rap']]",2xLMifQCjDGFmkHkpNLD9h,2,0.00513,0.8340000000000001,312820,0.73,8,0.124,-3.714,0.222,155.00799999999995,4,0.446
193,Piso 21,pop,Te Vi,Te Vi,"['Piso 21', ['colombian pop', 'latin']]",059bcIhyc2SBwm6sw2AZzd,2,0.0446,0.877,231848,0.777,1,0.0863,-4.246,0.117,102.02,4,0.706
35,Bad Bunny,latin,MIA (feat. Drake),MIA (feat. Drake),"['Bad Bunny', ['reggaeton', 'trap latino']]",116H0KvKr2Zl4RPuVBruDO,2,0.0141,0.8170000000000001,210368,0.539,6,0.099,-6.349,0.0621,97.062,4,0.158
2,YNW Melly,rap,I AM YOU,Murder On My Mind,"['YNW Melly', ['trap music']]",7eBqSVxrzQZtK2mmgRG6lC,2,0.145,0.759,268434,0.73,0,0.11,-7.985,0.0516,115.007,4,0.74
19,Dominic Fike,pop,"Don't Forget About Me, Demos",3 Nights,"['Dominic Fike', ['alternative pop rock']]",1tNJrcVe6gwLEiZCtprs1u,2,0.223,0.815,177667,0.518,7,0.104,-6.5939999999999985,0.0897,151.891,4,0.877
7,Juice WRLD,rap,Goodbye & Good Riddance,Lucid Dreams,"['Juice WRLD', ['chicago rap']]",285pBltuF7vW8TeWk8hdRR,2,0.349,0.511,239836,0.5660000000000001,6,0.34,-7.23,0.2,83.90299999999998,4,0.218
32,Dean Lewis,pop,Be Alright,Be Alright,"['Dean Lewis', ['australian pop', 'pop']]",3EPXxR3ImUwfayaurPi3cm,2,0.6970000000000001,0.5529999999999999,196373,0.586,11,0.0813,-6.319,0.0362,126.684,4,0.443
11,XXXTENTACION,rap,?,SAD!,"['XXXTENTACION', ['emo rap', 'miami hip hop']]",3ee8Jmje8o58CHK66QrVC2,2,0.258,0.74,166606,0.613,8,0.123,-4.88,0.145,75.023,4,0.473
28,Cardi B,pop,Invasion of Privacy,I Like It,"['Cardi B', ['pop', 'rap']]",58q2HKrzhC3ozto2nDdN4z,2,0.099,0.816,253390,0.726,5,0.3720000000000001,-3.998,0.129,136.048,4,0.65
158,Anuel Aa,latin,Amanece,Amanece,"['Anuel Aa', ['reggaeton flow', 'trap latino']]",1LiN0Z98FkR1t0m8KmLcAH,2,0.4370000000000001,0.79,190005,0.631,8,0.158,-5.549,0.0425,94.039,4,0.889
129,Wisin & Yandel,latin,"Los Campeones del Pueblo ""The Big Leagues""",Aullando,"['Wisin & Yandel', ['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'tropical']]",7BuHdm4lQqcyG3qTwdkxus,2,0.184,0.8,226200,0.74,10,0.0558,-4.52,0.0479,90.035,4,0.775
