artist_name,track_name,album_name,artist_genres,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),"['Post Malone', ['pop', 'rap']]",3KkXRkHbMCARz0aVfEt68P,94,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.9129999999999999
Meek Mill,Going Bad (feat. Drake),Championships,"['Meek Mill', ['hip hop', 'philly rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']]",2IRZnDFmlqMuOrYOLnZZyc,89,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.00299999999999,4,0.544
YNW Melly,Murder On My Mind,I AM YOU,"['YNW Melly', ['trap music']]",7eBqSVxrzQZtK2mmgRG6lC,88,0.145,0.759,268434,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,4,0.74
Calboy,Envy Me,Envy Me,"['Calboy', ['chicago rap', 'trap music']]",05t7JMip6JrLuSrMV5yYjX,86,0.282,0.556,120137,0.48100000000000004,0.0,11,0.21600000000000003,-7.662999999999999,1,0.313,149.025,4,0.581
Travis Scott,SICKO MODE,ASTROWORLD,"['Travis Scott', ['pop', 'pop rap', 'rap']]",2xLMifQCjDGFmkHkpNLD9h,88,0.00513,0.8340000000000001,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.00799999999998,4,0.446
Halsey,Without Me,Without Me,"['Halsey', ['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']]",5p7ujcrUXASCNwRaWNHR1C,91,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999
Marshmello,Happier,Happier,"['Marshmello', ['brostep', 'egyptian pop', 'progressive electro house']]",2dpaYNEQHiRxtZbfNsse99,91,0.191,0.687,214290,0.792,0.0,5,0.16699999999999998,-2.7489999999999997,1,0.0452,100.015,4,0.6709999999999999
Juice WRLD,Lucid Dreams,Goodbye & Good Riddance,"['Juice WRLD', ['chicago rap']]",285pBltuF7vW8TeWk8hdRR,87,0.349,0.511,239836,0.5660000000000001,0.0,6,0.34,-7.23,0,0.2,83.90299999999999,4,0.218
21 Savage,a lot,i am > i was,"['21 Savage', ['atl hip hop', 'rap', 'trap music']]",2t8yVaLvJ0RenpXUIAC52d,85,0.0395,0.8370000000000001,288624,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,0.27399999999999997
Khalid,Better,Suncity,"['Khalid', ['pop'], ['pakistani pop'], ['somali pop']]",6zeeWid2sgw4lap2jV61PZ,84,0.0765,0.596,229320,0.552,0.33399999999999996,0,0.10400000000000001,-10.277999999999999,0,0.09699999999999999,97.949,4,0.11199999999999999
Post Malone,Better Now,beerbongs & bentleys,"['Post Malone', ['pop', 'rap']]",7dt6x5M1jzdTEt8oCbisTK,88,0.354,0.68,231267,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,4,0.374
XXXTENTACION,SAD!,?,"['XXXTENTACION', ['emo rap', 'miami hip hop']]",3ee8Jmje8o58CHK66QrVC2,87,0.258,0.74,166606,0.613,0.00372,8,0.12300000000000001,-4.88,1,0.145,75.023,4,0.473
A Boogie Wit da Hoodie,Look Back At It,Hoodie SZN,"['A Boogie Wit da Hoodie', ['rap', 'trap music']]",3Ol2xnObFdKV9pmRD2t9x8,85,0.40700000000000003,0.7909999999999999,179449,0.5870000000000001,0.0,3,0.14800000000000002,-5.075,0,0.0413,96.057,4,0.536
Panic! At The Disco,High Hopes,Pray For The Wicked,"['Panic! At The Disco', ['emo', 'modern rock', 'pop punk']]",1rqqCSm0Qe4I9rUvWncaom,89,0.193,0.579,190947,0.904,0.0,5,0.064,-2.7289999999999996,1,0.0618,82.014,4,0.6809999999999999
Sheck Wes,Mo Bamba,MUDBOY,"['Sheck Wes', ['rap', 'trap music', 'underground hip hop', 'vapor trap']]",1xzBco0xcoJEDXktl7Jxrr,85,0.19399999999999998,0.7290000000000001,183907,0.625,0.009859999999999999,4,0.248,-5.266,1,0.0315,146.034,4,0.261
Kodak Black,ZEZE (feat. Travis Scott & Offset),Dying To Live,"['Kodak Black', ['miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']]",0FZ4Dmg8jJJAPJnvBIzD9z,85,0.0521,0.861,228760,0.603,0.0,8,0.0924,-5.787999999999999,0,0.17600000000000002,98.04299999999999,4,0.504
Juice WRLD,Armed And Dangerous,Goodbye & Good Riddance,"['Juice WRLD', ['chicago rap']]",5wujBwqG7INdStqGd4tRMX,83,0.18600000000000003,0.736,169999,0.67,0.0,10,0.114,-6.702000000000001,1,0.311,130.032,4,0.845
Flipp Dinero,Leave Me Alone,Leave Me Alone,"['Flipp Dinero', ['rap', 'trap music', 'underground hip hop', 'vapor trap']]",14mHfNsSHN0FbLftyjrV9g,83,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
Blueface,Thotiana,Famous Cryp,"['Blueface', ['cali rap', 'trap music']]",3oh6SCCeLuXhFpEyepla6G,84,0.18,0.9059999999999999,129264,0.382,0.0,10,0.113,-12.89,0,0.26899999999999996,104.025,4,0.391
Dominic Fike,3 Nights,"Don't Forget About Me, Demos","['Dominic Fike', ['alternative pop rock']]",1tNJrcVe6gwLEiZCtprs1u,88,0.223,0.815,177667,0.518,0.0,7,0.10400000000000001,-6.593999999999999,0,0.0897,151.891,4,0.877
Panic! At The Disco,"Hey Look Ma, I Made It",Pray For The Wicked,"['Panic! At The Disco', ['emo', 'modern rock', 'pop punk']]",22oEJW6r2rMb9z4IntfyEa,84,0.0137,0.5770000000000001,169667,0.833,0.0,5,0.121,-3.3369999999999997,1,0.0695,107.936,4,0.58
Morgan Wallen,Whiskey Glasses,If I Know Me,"['Morgan Wallen', ['contemporary country', 'country road', 'deep talent show']]",6foY66mWZN0pSRjZ408c00,81,0.364,0.615,234347,0.68,1.75e-06,6,0.115,-4.582,1,0.0286,149.99200000000002,4,0.7020000000000001
benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),"['benny blanco', ['dance pop', 'pop', 'tropical house']]",0d2iYfpKoM0QCKvcLCkBao,86,0.555,0.56,173800,0.68,0.0,6,0.11599999999999999,-7.648,0,0.321,89.391,4,0.319
City Girls,Act Up,Girl Code,"['City Girls', ['pop', 'r&b', 'trap queen'], ['art rock', 'drone folk', 'experimental', 'experimental rock', 'freak folk', 'free folk', 'free improvisation', 'industrial', 'new weird america', 'no wave', 'noise rock', 'post-punk']]",3A2yGHWIzmGEIolwonU69h,81,0.0167,0.938,158332,0.638,0.0,8,0.111,-4.713,1,0.18899999999999997,97.075,4,0.313
Juice WRLD,All Girls Are The Same,Goodbye & Good Riddance,"['Juice WRLD', ['chicago rap']]",4VXIryQMWpIdGgYR4TrjT1,82,0.0769,0.6709999999999999,165820,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203
Lil Baby,Yes Indeed,Harder Than Ever,"['Lil Baby', ['atl hip hop', 'atl trap', 'rap', 'trap music']]",6vN77lE9LK6HP2DewaN6HZ,81,0.035,0.9640000000000001,142273,0.34600000000000003,0.0,5,0.10800000000000001,-9.309,0,0.53,119.958,4,0.562
Joji,SLOW DANCING IN THE DARK,BALLADS 1,"['Joji', ['alternative r&b', 'viral pop'], ['japanese traditional'], ['japanese classical performance']]",0rKtyWc8bvkriBthvHKY8d,82,0.544,0.515,209274,0.479,0.00598,3,0.191,-7.457999999999999,1,0.0261,88.964,4,0.284
